Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
India,127989.2141,139637,148222,156202,167858,174725,190613,206617,225214,231169,239035,266891,275677,290126,301878,317115,339294,351952,354024,359970,372518,388663,403787,429023,455201,481825,509396,541303,569507,612751,627599,638588,658864,670471,735836
Indonesia,627.10493,764,659,737,1687,2324,3070,3550,4643,9714,11628,15204,24762,32401,35647,46107,55479,60490,67545,81300,87498,103181,112582,129085,158417,187989,257187,274290,274217,321044,358251,445984,489966,537364,518690
Iran,992.08022,995,1119,1131,1144,1219,1391,1367,1389,1323,1213,988,1070,1250,1425,1254,1124,1334,1356,1146,1265,1228,1138,1260,1349,1715,1820,1835,1753,1270,1200,1283,1151,1217,1213
Ireland,66.1386,76,68,83,77,63,60,50,50,47,28,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,
Italy,1417.57066,1338,2100,1929,1961,2086,1143,1073,1146,1184,1118,1059,909,694,294,190,151,238,208,127,15,153,180,276,108,105,23,174,129,79,111,101,88,80,95
Japan,19901.10474,19497,19407,18805,18351,18057,17651,14387,12375,11236,8795,8741,8379,7943,7432,6963,6797,4376,4077,4066,3267,3536,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,139482,123326,115329,93139,85956,80080,78071,65912,85367,87167,81567,93820,95912,96118,106555,107837,122436,111172,122278,128364,132858,131808,127271
"North Korea",33366.9237,34729,36493,36902,37838,29873,29659,29447,35512,27430,36542,34282,32187,29873,27999,26125,23149,22708,20503,23369,24802,25463,24141,24582,25133,26522,27205,26566,27624,28109,39683,45195,45746,46297,45230
"South Korea",20530.52375,21897,22174,21893,23556,24849,26734,26757,26781,22912,18978,16599,13195,10409,8199,6305,5458,4976,4807,4626,4575,4208,3657,3637,3517,3122,3123,3181,3057,2777,2297,2297,2308,2001,1925
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8508,9470,9534,9141,9572,9060,7941
Kyrgyzstan,,,,,,,,,,,,,2371,1897,931,510,451,575,476,460,468,525,506,459,508,369,354,435,535,669,634,916,1283,1552,1723
Laos,0.09921,0.1,0.2,0.3,0.4,1.1,2.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,26,56,105,95,87,139,136,258,254,367,257,257,683,661,698,786,748,784,788,814
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,7692,7625,7562,7991,7876,7385,9012,8130,8285,8935,8356,8137,7986,7585,7318,7175,8411,8186,7412,9049,8058,7370,7857
Malawi,,,,,,,,,,,,,,,,,,,,70,87,53,66,73,55,50,61,66,58,60,60,60,60,60,78
Malaysia,,,,,,,24,96,98,120,122,198,194,133,148,123,241,240,347,273,423,602,389,193,429,869,993,1185,1382,2357,2642,3214,3252,3190,3190
Mexico,3405.03559,3353,4032,5121,5580,5724,6200,6852,6118,6572,7642,7124,6729,7292,9808,10274,11359,11470,12381,11382,12505,12506,12108,10581,10893,11855,12662,13794,12599,11627,12397,15122,15053,14402,14810
Moldova,,,,,,,,,,,,,287,197,122,35,40,53,8.8,,,,,,,,,,,,,,,,
Mongolia,5817.522443,4743,5934,5998,5987,7190,7788,8559,9486,8868,7889,7757,6886,6192,5686,5532,5633,5428,5574,5472,5715,5667,6111,5852,5952,8285,9215,10395,11319,15928,27793,32625,29113,28552,33960
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,1326,1918,1055,2136,2175,1969,1865,1824
Morocco,749.5708,775,810,828,924,854,854,699,701,556,580,607,635,666,717,717,558,414,297,142,34,2.2,10.1333,18.0667,26,13,4.4,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,22,21,20,23,26,33,49,41,19,13,45,26,42,42,39,680,4993,6992,10031
Nepal,8.98384,9.9,9.7,10,9.2,8.3,5.5,4.95,4.4,3.85,3.3,2.75,2.2,2.2,2.2,6.6,7.7,8.8,12,20,19,11,13,12,9.9,10,13,18,15,16,15,3.7,12,16,21
"New Zealand",2383.903005,2422,2474,2727,2785,2635,2776,2448,2688,2991,2842,2964,3327,3678,3344,3943,3980,3932,3446,3864,3811,4312,4915,5710,5683,5806,6254,5329,5326,5030,5876,5451,5430,5099,4374
Niger,22.04623,33,50,143,165,166,137,181,171,188,190,190,187,190,190,191,191,192,192,193,174,180,202,208,261,201,194,189,202,248,272,271,259,263,290
Nigeria,194.00656,128,62,58,84,154,159,160,90,93,99,110,96,31,28,22,8.8,11,13,18,3.3,25,47,25,3.3,8.8,17,25,30,42,45,50,43,49,49
Norway,317.46528,452,485,553,497,559,482,440,291,374,334,364,396,295,332,322,254,425,362,445,697,1971,2350,3245,3201,1621,2640,4490,3781,2911,2133,1528,1355,2045,1846
Pakistan,1905.27151,1883,2145,1955,2123,2390,2331,2377,3006,2887,3033,3183,3388,3389,3543,3354,3820,3854,3815,3491,3411,3668,3651,3610,5056,5369,4016,4546,4122,3837,3804,3983,3504,3101,3659
Peru,53.51722,116,91,116,132,164,191,140,155,133,107,63,95,92,69,57,23,24,23,24,18,21,24,17,26,25,33,308,144,157,133,201,250,208,273
Philippines,362.65999,365,615,1124,1340,1391,1362,1332,1497,1499,1370,1462,1831,1744,1597,1465,1221,1186,1275,1297,1491,1356,1835,2238,3005,3487,2853,4119,4384,5706,8088,8390,8987,7817,10487
Poland,253516.97,218961,250184,257526,266726,274903,285871,293440,293439,274675,237082,230860,218439,218425,220348,220172,221446,220790,196173,187570,178247,179491,177398,179212,178260,174987,171135,159773,157993,148355,146257,152680,158197,156875,150374
Portugal,195.10887,203,196,204,214,261,260,288,254,284,310,298,244,217,162,,,,,,,,,,,,,,,,,,,,
Romania,38761.62884,40705,41731,49078,48810,51347,52382,56795,64765,67619,42090,35730,42296,43818,44695,45328,46153,37266,28915,25223,32281,36695,33526,36446,35045,34288,38496,39441,39530,37436,34312,39145,37418,27250,25976
Russia,,,,,,,,,,,,,348764,315631,280687,270868,264925,252838,241034,259241,264912,273415,261887,283271,285437,311823,313680,318591,336163,304228,329258,325887,363058,359339,393765
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,40543,40949,42669,42438,41861,45310,42146,44420,33081
Slovakia,,,,,,,,,,,,,,3910,4006,4144,4221,4316,4355,4131,4021,3774,3752,3414,3254,2768,2426,2327,2671,2836,2621,2619,2526,2594,2412
Slovenia,,,,,,,,,,,,,6144,5645,5351,5384,5255,5434,5374,5022,4938,4556,5165,5324,5301,5004,4985,4999,4982,4882,4883,4961,4716,4273,3426
"South Africa",126897.9272,140875,152670,160496,179566,191251,194778,194668,199959,194337,192684,196432,192243,207470,215838,227308,227475,242589,245790,246382,247138,246432,242743,263178,268271,270053,269881,273005,278017,276171,283521,278616,285031,282812,288142
Spain,31186.5926,38634,43623,44041,43643,43721,42241,38130,35098,40180,39333,36996,36895,34814,32665,31201,29751,29200,28812,26785,25872,24998,24288,22666,22583,21474,20334,18940,11229,10411,9292,7298,6813,4815,4298
Swaziland,194.0068,181,181,112,138,183,190,182,161,169,176,136,110,55,251,190,142,224,452,470,419,347,467,495,538,497,342,266,193,143,161,133,276,249,283
Sweden,19.8416,18,14,14,14,13,13,28,18,22,12,31,41,,,,,,,,,,,,,,,,,,,,,,
Taiwan,2836.79828,2696,2627,2465,2217,2048,1902,1653,1351,865,520,444,369,362,314,259,163,109,87,101,92,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,456,412,120,45,22,19,21,21,24,26,40,52,103,109,116,200,219,223,220,260,454,569,606
Tanzania,1.10231,1.1,1.1,11,11,17,4.4,3.3,3.3,3.3,4.4,4.4,4.4,49,51,49,63,31,50,83,87,86,87,60,72,34,20,30,17,8.6,0.2,89,87,142,127
Thailand,1681.02275,1899,2504,2377,2748,5719,6036,7607,8002,9812,13692,16192,16928,17137,18844,20306,23678,25786,22226,20135,19520,21624,21607,20771,22112,23014,20945,20105,19822,19606,20221,23509,19918,19391,19820
Turkey,20530.52375,23155,24992,27828,33038,44089,51166,51795,43230,57551,52280,50825,56693,53528,59934,60708,62129,66060,74277,73897,69741,68450,59507,53531,51122,64309,70829,83074,87526,87633,80908,83903,78772,66572,70702
Ukraine,,,,,,,,,,,,,136009,116544,95352,84104,62791,64568,65618,69248,68787,67995,67854,70804,65686,66537,67981,70783,71033,65735,63558,69097,72227,71019,49997
"United Kingdom",143407,140510,137470,131455,56418,103739,119159,115228,114713,110033,102252,104633,93137,75176,54879,58463,55333,53457,45390,40870,34390,35197,33057,31172,27664,22595,20411,18747,19901,19703,20223,20450,18703,13969,12839
"United States",829700,823775,838112,782091,895921,883638,890315,918762,950265,980729,1029076,995984,997545,945424,1033504,1032974,1063856,1089932,1117535,1100431,1073612,1127689,1094283,1071753,1112099,1131498,1162750,1146635,1171809,1074923,1084368,1095628,1016458,984842,1000049
Uzbekistan,,,,,,,,,,,,,6097,5133,5126,3366,3127,3249,3222,3274,2833,2988,3016,2109,3069,3391,3566,3794,3627,4028,4001,4237,4247,4441,4850
Venezuela,46.29702,54,56,41,56,44,63,68,1202,2342,2413,2398,2701,4205,4716,4480,4011,5672,8219,7693,8692,8361,8123,7503,7438,7931,7697,6721,5426,4109,2899,2878,2107,1194,2533
Vietnam,5732.012,6614,6923,6945,5512,6166,6748,6980,6679,5661,5100,5736,5767,6145,6787,9204,10828,12553,12866,10614,12797,14768,18088,21290,30147,37581,42745,46829,43847,48588,49422,51380,46389,45233,39437
Zambia,628.55116,560,668,500,567,563,609,510,577,453,416,381,465,367,180,167,186,87,181,205,141,185,115,79,79,164,72,15,3.9,62,60.3333,58.6667,57,194,224
Zimbabwe,3051.19784,2727,2858,2880,2996,3422,3954,5361,5168,5282,5892,6641,6568,5894,5463,5173,4871,4424,4597,5099,4696,4480,4102,3166,2729,3187,2323,2293,2146,1929,2941,2824,3858,5490,6158
