Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahamas,,,,88.86711884,88.86711884,88.86711884,88.86711884,90.48947906,91.03027344,91.57106018,91.57106018,91.02432251,90.99926758,88.28626251,87.19828033,85.58779144,87.1582489,86.6166687,78.44530487,77.8733139,77.30438995,77.27954102,76.74216461,88.10275269,86.56946564,83.48460388,90.17398834,84.51403809,78.33063507,61.81611252,73.13315582,77.17982483,83.38128662,77.1676178,73.04491425,70.36283875,69.98135376,69.21879578,70.00689697,83.49132538,75.40258789,75.95311737,74.26100159,75.00248718,77.95155334,76.76444244,94.14505768,91.47845459,88.11027527
Bahrain,,20.32434273,20.68279266,21.74663353,22.10508156,26.58802795,28.01031876,29.43260765,30.49644852,32.26568222,34.37914658,32.03101349,32.43244171,36.26410675,38.342556,51.89838791,57.53520966,58.77532196,58.72712326,58.33901596,60.57721329,58.9329567,59.24343491,60.56851578,55.4498024,54.58712769,49.12172318,43.94908524,46.27563477,48.59027481,56.77993774,58.44680023,63.2428093,63.17212296,63.15686798,63.18524551,63.68584442,63.06742477,62.52855301,61.89419937,61.28213501,60.01383591,52.73858643,53.29891586,51.81439209,51.1349678,51.64576721,45.91215134,43.11045837
Bangladesh,,18.81720352,19.51109314,19.51109314,19.16414833,19.51109314,16.10349083,21.28032684,21.63877487,21.9972229,26.45376015,24.07638168,20.35511971,19.39517784,20.80920601,21.24093819,21.64900589,21.69910431,23.43900108,24.16659355,29.84885597,25.88486862,35.84656906,36.18730545,32.54092789,33.50802231,34.53151703,35.51214218,36.84949112,39.17802429,42.7996788,48.3437767,55.18904495,57.80518723,58.77816391,59.75609207,60.5831604,60.94906616,60.72263718,60.44970322,60.8259964,60.81501389,60.45431519,60.33960342,60.56737518,60.93641281,60.74287033,61.01423645,55.79599762
Barbados,67.29701233,66.93856049,76.29456329,81.48722839,56.49571228,59.25976563,75.19621277,65.81719971,63.72402954,63.7010231,67.47161865,73.69946289,63.07168198,60.12610245,75.5827179,58.7170372,61.87379074,70.48175049,76.54264069,82.18625641,76.07588959,78.40673065,81.73203278,80.78153992,79.49284363,78.51924133,77.56195068,76.28878784,75.29200745,74.31266022,73.64238739,76.22805023,77.50228882,74.03385925,74.37566376,81.19106293,74.77658844,86.33491516,84.44096375,86.30926514,87.52401733,84.75124359,85.42153931,86.03639221,86.38569641,82.1765213,84.53120422,76.38951874,76.4983902
Belarus,,,,,,,,,,,,,,,,,,,,,,58.65375137,58.64019775,65.46147156,54.5416832,45.26912308,37.9710083,28.19650078,29.2463398,39.57255936,41.15013123,40.70832825,39.69605255,40.71888351,31.36734009,31.39900589,36.00932312,38.95570374,45.40116882,44.01209641,47.07326126,47.45157623,48.14294434,48.27000809,48.34006119,46.38698959,46.51084137,40.47781372,42.00518036
Belgium,71.05588531,71.41432953,71.06739044,81.14028931,76.9769516,75.60067749,75.9591217,74.92979431,75.28823853,78.75769043,77.02237701,77.71554565,79.1335907,83.29557037,84.6893158,85.07867432,85.43242645,86.46191406,87.16487885,87.52658844,87.53433228,88.90881348,88.93411255,82.81578064,82.18750763,82.19924164,82.91042328,77.40338898,77.43234253,77.41854095,78.75309753,78.09332275,78.4701004,82.6965332,84.97956848,85.00252533,84.41259766,85.77597046,86.1674118,86.38896942,86.82931519,87.29779816,86.65887451,89.31330872,89.09354401,88.8897171,89.56524658,90.44984436,91.71986389
Belize,,,,,,,,,,,,61.13349915,59.45753479,58.52223969,57.583992,62.19442368,62.34153748,63.50063324,64.36068726,60.63345337,61.44957733,62.18855286,67.57428741,67.99090576,68.32756805,69.99323273,70.13817596,70.84744263,71.84944153,72.51023865,71.54522705,72.83562469,69.03674316,71.71012878,71.11729431,69.55423737,71.79221344,75.5938797,72.14886475,73.18932343,73.59960175,74.12063599,76.14260101,75.31591034,75.95745087,76.69835663,77.09472656,77.70401764,78.02641296
Benin,13.25891113,13.25891113,13.25891113,13.25891113,13.25891113,7.955983162,4.126091003,4.126091003,4.126091003,4.126091003,8.292539597,8.303718567,8.684681892,8.714941025,9.446798325,5.95029211,5.961720467,6.33782959,6.714355469,7.091290474,7.467319489,21.68129921,26.00939751,26.34864426,26.96853638,27.5690155,33.13101578,33.4893074,34.14456177,34.84579849,29.97498322,35.70982742,35.96706772,36.34436417,37.40065384,37.6007843,38.28794098,39.36336899,40.7595253,41.58032608,42.50972748,43.6213913,45.34906769,46.76064301,48.22525024,49.64865112,51.08693314,51.853302,52.36083221
Bhutan,24.87893105,24.87893105,24.87893105,24.87893105,24.87893105,24.87893105,24.87893105,24.87893105,24.87893105,18.44998741,18.99076653,19.00767326,19.0789814,19.71180344,19.8102951,19.94647598,20.57691956,21.20664024,21.83204842,21.91337776,21.99775887,22.03874397,25.15588188,16.38440704,10.56946754,10.57695866,11.08699036,11.59825039,12.63856697,19.96819115,21.51666832,22.03727913,23.59667397,34.84865952,42.11020279,42.63965225,49.86882019,53.36455917,64.41788483,65.0136795,65.56520844,63.5278244,62.86707306,61.27050781,69.31584167,68.06007385,65.96452332,61.92733002,63.70075607
Bolivia,29.47862244,30.87790489,31.58329773,32.28868866,32.9940834,29.92192078,30.62731361,35.80414963,36.50954437,41.33943558,42.73138809,33.83534241,38.69239044,43.59388351,45.72754669,45.84138107,46.27109909,46.7395401,47.51182556,47.93796539,49.01934433,49.74139023,50.83184433,53.14301682,54.46720505,55.14136505,51.91731262,56.87516022,58.84538269,61.20438766,61.57004547,62.90639496,64.25262451,67.87513733,70.19599152,71.59388733,71.54921722,71.23885345,69.09999084,67.45000458,69.27728271,69.50502777,67.4311676,65.83506775,66.18157959,67.63882446,69.17774963,70.67388153,71.66978455
