Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Finland,,,,,,,,,,,5.2,5,5,6,6.5,6.6,6.1,8.2,9.7,8.7,8.7,8.4,9.1,9.5,11.1,9.903,11.203,10.204,10.878,9.259,11.487,11.962,11.937,13.127,13.255,13.446
France,1.2,1.2,1.7,1.3,1.5,1.4,1.4,1.4,1.3,2,2.2,2.4,2.5,2.3,2.5,2.8,2.9,3.3,3.3,3.8,4.2,4.9,5.4,5.8,6.1,6.51,7.713,10.118,12.081,14.734,17.489,21.771,26.546,28.006,30.567,36.322
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.007,0.007,0.008,0.009,0.009,0.009,0.009,0.01,0.01,
Germany,,,,,,,,,,,,5.9,6.5,6.9,8.6,9.4,10.1,11.3,14.3,13.8,19.4,22.1,29.2,34.3,42.6,45.3002,54.2004,72.0754,78.259,81.804,90.208,112.5,128.257,135.948,150.366,184.278
"West Germany",5.2,4.7,4.7,4,4.3,4.3,4.2,3.8,4.3,4.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,
Greece,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.7,1,0.9,1.2,1.4,1.501,1.801,2.001,2.415,2.787,3.191,4.245,5.808,8.089,7.8,8.53
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.05,0.06,0.05,
Guatemala,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.1,0.8,0.8,0.8,0.8,1.6,1.6,1.4,1.4,1.7,1.162,1.514,1.858,1.74,1.837,2.009,2.51,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.197,0.168,0.16,0.768,1.029,1.036,0.923,
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.093,0.08,0.091,0.095,0.099,
Hungary,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.2,0.8,1.71,1.443,1.8,2.253,2.753,2.984,2.621,2.551,2.678,2.96,3.061
