Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Estonia,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Ethiopia,,,,,,,,18.38,16.37,14.36,12.35,10.34,8.33,6.32,6.73,7.005,7.28,7.555,7.83,7.29,6.75,5.62,5.14,5.77,4.87,6.1567,7.4433,8.73
Fiji,,,,,,,,,,,,,,,,6.88,7.51,6.42,5.33,5.85,7.37,9.73,8.2,8.66,8.98,9.27,,
Finland,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
France,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
"French Polynesia",,,,,,,,,,,,,,,,,,,,,2.41,2.73,2.68,2.63,2.47,2.72,2.72,3.42
Gabon,,,,,,,,20.2,20.24,20.28,20.32,19.555,18.79,19.16,19.66,19.4,19.4,19.29,17.41,15.53,15.13,15.87,16.44,16.26,14.23,13.75,14.815,15.88
Gambia,,,,,,,,,,,,,,,,10.36,10.8075,11.255,11.7025,12.15,12.79,11.13,11.26,12.19,12.19,12.19,,
Georgia,,,,,,,,,,,,11.98,11.705,11.43,13.05,12.83,13.14,12.2,3.46,1.26,1.24,1.16,1.15,1.71,1.14,1,0.78,0.56
Germany,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Ghana,,,,,,13.6,15.5486,17.4971,19.4457,21.3943,23.3429,25.2914,27.24,8.66,8.66,8.66,8.7625,8.865,8.9675,9.07,8.88,13.49,14.61,14.5333,14.4567,14.38,,
Greece,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Grenada,,,,,,,,,15.3,15.3233,15.3467,15.37,13.68,15.32,13.75,14.38,12.8933,11.4067,9.92,10.01,9.87,7.995,6.12,10.67,11.16,11.67,13.255,14.84
Guatemala,,,,,,,,10.23,8.81,7.39,10.08,8.79,7.5,7.87,7.02,6.7,5.01,5.45,5.25,4.06,2.13,2.28,1.73,1.65,2.5,1.41,1.26,1.15
Guinea,,,,,,,,,,,,,,,,,6.45,14.77,14.47,14.17,13.87,13.5,13.87,13.87,13.87,,,
"Guinea Bissau",,,,,,,,,,,,,,12.42,12.42,12.73,12.92,10.68,11.23,16.88,11.72,10,12.75,12,10.76,13.16,9.85,
Guyana,,,,,,,,,19.24,17.74,16.24,14.74,14.99,14.5,14.6,14.09,10.76,7.43,4.1,14.09,5.3,14.23,5.1,6.47,7.34,7.1,6.275,5.45
Haiti,,,,,,,,,,,,,,4.55,4.51,4.446,4.382,4.318,4.254,4.19,3.79,3.9,7.35,7.53,4.65,6.71,7.34,7.13
Honduras,,,,,,,,12.88,12.6075,12.335,12.0625,11.79,11.02,12.36,10.26,10.29,7.91,7.02,6.69,5.37,3.94,8.72,8.17,7.87,7.78,6.54,4.64,2.74
Hungary,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Iceland,,,,,,5.21,5.4467,5.6833,5.92,5.3325,4.745,4.1575,3.57,3.52,3.41,3.3,2.3,2.65,1.16,1.35,1.07,1.23,1.08,1.12,1.26,1.27,1.22,1.55
India,,,27.13,18.135,9.14,10.55,11.96,13.37,14.78,16.19,19.74,23.29,15.84,23.11,19.75,19.83,18.72,15.03,8.31,13.02,5.87,5.81,6.55,7.96,4.92,4.99,,
Indonesia,,5.81,5.26,5.49,5.72,5.95,5.395,4.84,3.72,3.5633,3.4067,3.25,2.76,2.37,3.78,2.17,2.25,2.13,2.05,1.49,2.18,1.1,1.53,1.48,1.26,1.22,,
Iran,,,,,,,,,,,,,6.56,8.24,9.92,11.6,11.07,12.5,13.93,15.36,9.66,10.3933,11.1267,11.86,,,,
Ireland,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Israel,,,,,,1.89,2.0357,2.1814,2.3271,2.4729,2.6186,2.7643,2.91,2.94,2.96,2.62,1.02,1.3,1.71,1.08,1.13,2.23,2.36,2.49,0.93,1.29,1.25,2.03
