Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Iran,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.8,2.9,2.9,3.0,3.0,3.2,3.3,3.6,4.2,4.4,4.2,4.1,4.0,3.9,3.8,3.2,2.7,2.8,4.0,4.1,3.0,1.3,0.6,1.2,1.4,1.4,1.4,1.3,1.2,1.3,1.1,0.8,0.9,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2
Iraq,2.6,2.7,2.7,2.7,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.1,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.7,3.7,3.6,3.6,3.4,3.4,3.5,3.5,3.5,1.8,3.0,3.1,3.2,-3.6,2.3,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.6,3.7,3.5,3.5,1.1,-0.6,2.4,4.1,3.5,3.6,4.6,4.8,3.7,3.0,2.9
Ireland,-0.1,-0.2,-0.2,-0.4,-0.7,-0.7,-0.6,-0.9,-0.3,-0.4,-0.5,0.4,0.7,0.5,0.4,0.3,0.6,0.4,0.4,0.8,1.0,1.5,1.6,1.7,1.7,1.6,1.4,1.3,1.6,1.0,1.2,1.1,0.7,0.7,0.3,0.0,0.0,-0.3,-0.5,-0.1,0.6,0.8,0.6,0.5,0.5,0.6,1.2,1.3,1.3,1.3,1.3,1.6,1.8,2.2,2.6,2.6,2.6,2.2,1.4,0.9,1.0,1.1,1.1,1.2,1.2,1.2
Israel,15.9,8.8,2.8,2.7,3.5,4.4,5.1,4.1,2.8,2.9,3.5,4.2,4.1,3.8,3.2,2.4,2.0,2.0,2.6,3.1,3.2,3.3,3.3,2.8,2.1,2.1,2.1,2.1,2.3,2.3,1.7,1.5,1.8,1.8,1.8,1.8,1.7,1.7,1.7,2.8,3.8,3.7,3.7,3.6,3.5,3.0,2.7,2.6,2.6,2.6,2.2,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.8,1.7,1.6,1.6
Italy,0.7,0.5,0.6,0.7,0.7,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.7,0.5,0.4,0.6,0.8,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.2
Jamaica,1.5,1.5,1.4,1.5,1.4,1.4,1.7,2.0,2.1,2.0,1.0,1.0,2.0,2.4,2.2,2.4,2.3,1.7,1.4,1.3,1.2,1.6,1.9,1.7,1.6,1.4,1.1,1.0,1.3,1.0,1.3,1.8,0.4,0.3,0.2,0.2,0.1,0.2,0.3,0.4,0.5,0.9,1.2,1.2,1.3,1.3,1.2,1.2,1.1,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
Japan,1.6,1.5,1.4,1.3,1.2,1.1,0.9,0.9,1.0,0.9,0.9,0.9,1.0,1.0,1.1,0.9,1.0,1.1,1.2,1.1,1.3,1.4,1.4,1.3,1.3,1.1,1.0,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2
Jordan,4.1,4.1,4.1,4.2,4.2,4.2,4.3,4.3,4.3,4.4,4.5,5.3,4.4,4.4,4.4,4.3,13.3,10.2,5.1,3.4,3.5,3.7,3.8,3.8,3.8,3.7,3.6,3.6,3.5,4.1,4.2,4.1,3.9,3.8,3.8,3.7,3.5,3.4,3.5,8.1,11.3,6.5,3.0,2.5,2.2,2.5,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,6.9,6.6,2.2,2.0,2.0,1.9,0.7,8.3,9.8,2.4,0.8
Kazakhstan,3.6,2.7,1.9,3.5,6.1,5.5,3.5,4.1,4.8,5.1,4.9,4.6,3.3,2.6,2.6,2.3,2.2,1.9,1.6,1.6,1.7,1.6,1.6,1.6,1.3,1.0,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.6,0.4,0.8,0.8,0.4,-0.4,-1.4,-1.6,-0.9,-1.1,-1.3,-0.8,-0.1,0.3,0.4,0.5,0.7,0.8,1.0,1.1,1.2,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1
Kenya,2.7,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.9,4.0,4.0,4.1,4.0,4.0,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.3,3.8,3.2,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.7,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.4,2.2,2.0,1.9
Kuwait,5.1,5.1,5.2,5.2,5.3,5.3,8.3,10.3,11.6,11.5,11.3,10.1,10.0,9.9,9.9,9.9,9.9,9.9,9.3,8.3,6.1,6.1,6.1,6.1,6.2,6.4,6.4,6.4,6.4,6.1,4.6,4.6,4.6,4.6,5.8,4.5,4.4,4.3,4.2,4.1,-2.9,-5.6,6.1,5.9,5.7,4.6,3.5,3.2,3.0,2.9,2.8,2.7,2.7,2.7,2.7,2.7,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.8,1.7,1.6
Kyrgyzstan,1.6,1.1,1.7,2.3,2.3,2.0,1.9,2.6,3.4,3.6,3.9,3.4,3.4,3.4,3.2,3.2,3.1,3.0,2.7,2.4,2.2,2.2,2.1,2.2,2.1,2.0,1.9,1.9,1.8,1.8,1.9,2.0,2.1,2.1,2.1,2.1,2.1,1.6,1.4,1.9,1.4,1.0,-0.2,-0.2,1.0,1.4,1.4,1.4,1.4,1.1,0.8,0.7,0.9,1.1,1.0,0.9,0.8,0.8,1.1,1.0,0.7,0.8,0.9,1.0,1.1,1.1
Latvia,0.7,0.7,0.6,0.7,0.6,1.2,1.4,0.8,0.8,1.3,1.4,1.3,1.2,1.3,1.2,1.1,1.0,0.9,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.6,0.1,-0.1,-0.5,-1.4,-2.0,-1.7,-1.5,-1.1,-1.0,-0.9,-0.8,-0.7,-0.8,-0.9,-1.0,-1.1,-1.1,-0.9,-0.8,-1.0,-1.7,-2.1,-1.8,-1.2,-1.1,-1.1,-1.0,-1.1
Lithuania,0.3,0.9,0.4,0.1,0.7,1.0,0.4,0.8,1.7,1.7,1.6,1.4,1.3,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.3,1.1,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.2,0.4,-0.5,-1.3,-1.7,-0.9,-0.4,-0.3,-0.1,-0.1,0.0,-0.1,-0.4,-0.6,-0.8,-1.2,-1.7,-1.7,-1.2,-1.1,-1.2,-2.2,-2.4,-1.4,-1.0,-1.0,-1.0,-1.0
Luxembourg,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,1.2,1.0,1.1,1.1,0.7,0.3,0.3,0.5,0.5,1.0,1.2,1.1,1.3,1.1,0.5,0.2,0.2,0.2,0.4,0.3,0.1,0.0,0.1,0.2,0.5,0.7,1.1,0.5,1.4,1.1,1.4,1.4,1.4,1.5,1.4,1.3,1.3,1.4,1.4,1.2,1.0,1.2,1.4,1.5,1.6,1.5,1.8,1.9,1.8,2.2,2.4,2.3,2.3,2.2,2.1
"Macedonia (F.Y.R.O.M.)",2.5,1.3,2.2,2.0,1.1,0.0,0.4,0.0,0.7,0.9,1.1,1.4,1.5,1.6,1.7,1.4,1.5,1.4,1.4,1.3,1.4,1.4,1.3,1.4,1.3,1.3,1.3,1.1,1.2,1.3,0.9,0.9,0.4,0.3,0.4,0.3,0.3,0.1,0.2,-0.1,0.3,1.2,1.5,0.9,1.0,0.9,0.7,0.5,0.5,0.5,0.5,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
Madagascar,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.7,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6
Malawi,1.8,1.8,1.9,1.9,2.0,2.1,2.2,2.3,2.3,2.4,2.4,2.7,2.7,2.4,2.6,2.8,3.2,2.9,2.8,2.6,2.7,2.8,2.9,3.5,4.8,4.0,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.8,5.8,6.6,5.9,5.0,3.5,3.3,1.3,-2.2,-1.1,2.1,2.6,2.7,2.7,2.7,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4
Malaysia,2.3,2.5,2.7,2.7,2.7,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.4,2.3,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.6,2.6,2.5,2.4,2.3,2.3,2.8,2.6,2.5,2.6,2.5,2.5,2.6,2.7,2.6,2.7,2.5,2.3,2.5,2.4,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4
Mali,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2.0,7.1,3.8,2.8,3.2,3.3,3.4,1.2,1.5,3.1,2.4,0.8,1.2,2.8,2.5,2.0,2.1,2.4,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7
Malta,0.2,1.3,0.2,0.8,-1.7,-0.1,1.5,1.0,0.9,1.1,0.1,0.0,-0.3,-1.4,-1.4,-0.5,0.3,0.2,1.1,0.9,0.0,-1.9,0.8,0.5,1.3,0.5,0.8,2.3,2.1,4.9,-0.1,-0.9,-1.2,-1.2,-1.2,-0.1,0.7,0.8,1.0,1.1,1.0,0.9,1.1,1.0,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
Mexico,2.8,2.9,2.9,3.0,3.0,3.1,3.2,3.2,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.2,3.3,3.1,2.9,2.8,2.7,2.6,2.5,2.5,2.4,2.3,2.3,2.4,2.4,2.4,2.3,2.2,2.2,2.1,2.1,1.9,1.9,1.8,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.4,1.4,1.3,1.2,1.2,1.2
Moldova,3.7,1.8,1.6,2.4,2.2,2.3,2.9,2.9,2.8,2.7,2.3,2.2,2.2,2.1,1.9,1.8,1.7,1.6,1.2,1.3,1.5,1.5,1.3,1.3,1.2,1.0,0.9,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,1.7,1.6,0.8,0.1,0.0,0.0,-0.2,-0.4,-0.5,-0.7,-0.9,-1.0,-1.1,-1.1,-1.1,-1.2,-1.1,-1.2,-1.2,-1.2,-1.1,-1.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Morocco,3.1,3.2,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.8,1.8,2.7,2.7,2.7,2.6,2.5,2.5,2.4,2.3,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0
Mozambique,1.5,1.6,1.6,1.7,1.8,1.8,1.9,2.0,2.0,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.3,2.3,2.4,2.3,2.5,2.8,2.8,2.8,0.6,3.2,3.3,3.0,3.2,2.3,2.2,1.8,1.5,1.2,1.1,0.6,-1.9,-2.9,-0.3,1.5,1.7,1.5,3.5,7.6,6.3,3.1,2.6,2.4,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.5
"Burma (Myanmar)",1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.7,1.9,1.8,1.8,1.7,1.5,1.7,2.0,1.8,1.9,2.0,2.0,1.9,1.8,1.7,1.5,1.4,1.3,1.8,1.5,1.5,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,0.9,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0
Netherlands,1.5,1.1,1.1,1.2,1.3,1.3,1.3,1.5,1.4,1.2,1.3,1.4,1.4,1.3,1.4,1.3,1.1,1.0,1.2,1.2,1.2,1.0,0.8,0.8,0.8,0.9,0.6,0.6,0.7,0.8,0.7,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.7,0.8,0.7,0.7,0.7,0.5,0.4,0.5,0.6,0.7,0.7,0.7,0.6,0.4,0.3,0.2,0.1,0.2,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
"New Zealand",2.0,2.4,2.6,2.2,2.1,2.0,2.3,2.3,2.2,1.7,2.6,2.3,2.1,2.0,1.9,1.8,1.5,1.1,1.1,1.4,1.7,1.9,2.2,2.2,1.9,1.1,0.4,0.0,0.0,0.2,0.5,1.0,1.3,1.2,0.8,0.5,0.3,0.3,0.5,1.1,1.2,1.1,1.2,1.4,1.6,1.5,1.1,0.7,0.5,0.5,0.9,1.6,1.6,1.2,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8
Niger,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.8,3.1,3.0,3.0,3.1,3.1,3.3,3.3,3.2,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3
Nigeria,2.2,2.2,2.2,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.0,3.1,3.1,3.1,2.1,1.9,2.6,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5
Norway,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.5,0.5,0.6,0.6,0.7,0.8,1.0,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.1
Oman,2.0,1.9,1.9,2.1,2.0,2.0,2.2,1.9,2.3,2.3,2.4,2.4,2.7,2.6,2.5,2.7,2.6,2.9,2.8,3.0,3.1,3.3,3.3,3.2,3.3,4.7,5.0,5.4,5.4,5.3,5.4,5.1,4.8,4.4,4.1,3.8,3.7,3.6,3.6,3.6,4.0,3.9,3.9,3.1,3.0,2.9,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1
Pakistan,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.5,2.5,2.3,2.2,2.4,2.9,3.5,3.8,3.4,2.9,2.5,2.7,3.0,3.1,3.0,2.9,2.8,2.9,2.2,2.1,2.5,2.6,2.8,2.6,2.4,2.4,2.7,2.9,2.2,1.8,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.5
Peru,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.7,2.7,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philippines,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.4,2.4,2.3,2.1,2.1,2.2,2.3,2.4,2.3,2.2,2.1,2.2,2.3,2.2,2.1,2.1,2.1,2.0,2.0,1.9,1.7,1.7,1.7,1.6,1.6,1.7,1.6,1.6
Poland,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.6,1.6,1.5,1.3,1.2,1.1,1.0,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.6,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,-0.1,-0.1,-0.1
Portugal,0.6,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,-0.1,-0.1,0.7,0.5,0.1,-0.2,-0.1,0.1,-0.2,-0.6,-0.6,-0.2,0.1,1.4,3.4,2.2,0.4,0.4,0.3,0.5,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.4,0.6,0.4,0.3,0.6,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
Qatar,7.9,7.5,7.0,6.6,6.2,5.2,5.0,4.7,5.3,6.0,7.9,8.8,9.9,10.0,10.1,10.1,10.2,10.4,10.1,9.8,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,5.2,4.1,12.6,11.0,9.7,8.8,2.5,4.2,4.0,3.7,3.5,3.3,3.3,3.2,3.1,3.0,4.3,5.6,5.3,5.1,4.9,4.8,4.6,12.2,17.8,15.2,13.2,11.8,10.6,9.6,7.5,5.5,4.7,4.0,3.4,2.9
Romania,0.9,1.0,1.3,1.1,1.7,1.5,1.4,1.3,0.9,1.0,0.9,0.6,0.7,0.6,0.5,0.6,0.8,2.3,1.5,1.2,1.1,0.9,0.8,1.0,1.0,0.9,1.0,0.8,0.8,0.6,0.6,0.5,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.1,-0.2,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.2,-0.2,-0.1,-0.1,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3
Russia,1.5,1.8,1.8,1.8,1.8,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.1,1.0,0.8,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.3,0.4,0.2,0.1,0.0,0.1,0.1,-0.1,-0.2,-0.1,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Saudi Arabia",1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.8,2.9,2.9,2.9,3.0,3.0,4.9,5.8,6.7,7.1,7.3,7.0,6.3,5.9,5.8,5.8,5.7,5.0,4.4,4.2,3.9,1.5,1.5,4.6,3.4,3.2,3.0,2.9,2.7,2.6,2.4,2.3,2.3,2.2,2.1,2.0,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5
Senegal,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.5,3.4,3.0,3.0,2.8,2.7,2.9,3.0,3.1,3.1,3.0,3.1,2.4,2.2,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.5,3.5,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.6,2.4,2.3,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5
Singapore,4.5,5.5,5.7,4.7,4.6,5.1,5.4,5.0,4.5,3.7,3.4,2.8,2.6,2.6,2.5,2.5,2.2,1.7,1.5,1.6,1.9,1.9,1.9,1.7,1.5,1.4,1.4,1.2,1.3,1.3,5.0,4.6,1.4,2.0,0.2,0.0,1.6,2.7,3.1,3.0,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.6,2.5,2.5,2.6,2.7,2.6,2.5,2.4,2.3,2.3,2.3,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9
Slovakia,1.3,1.4,1.1,1.7,1.8,1.6,1.5,1.4,1.2,1.2,4.9,1.1,1.0,1.0,1.0,0.9,0.8,0.7,0.1,1.0,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Slovenia,1.0,0.4,0.6,0.8,0.6,0.5,0.5,0.5,0.5,0.6,0.9,0.7,0.8,0.7,0.9,0.7,0.9,0.7,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.7,0.7,0.7,0.8,3.4,0.3,1.2,0.9,1.0,0.9,0.9,0.7,0.8,0.7,0.8,0.4,0.0,0.0,0.1,0.1,0.2,0.2,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3
"South Africa",2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.6,3.1,3.2,3.2,3.2,3.2,2.5,2.4,2.4,2.3,2.2,2.1,2.0,2.1,1.7,1.3,1.2,1.2,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,0.9,0.6,0.9,1.0,1.1,1.3,1.2
"South Korea",0.1,0.3,0.5,0.9,1.4,2.2,2.6,2.8,3.1,3.3,3.3,3.1,3.0,2.8,2.6,2.5,2.4,2.3,2.3,2.2,2.0,1.9,1.7,1.8,1.7,1.6,1.6,1.6,1.4,1.6,1.6,1.6,1.5,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,0.9,0.9,0.8,0.7,0.8,0.7,0.8,0.7,0.5,0.5,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1
Spain,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.0,0.9,0.9,0.9,0.9,1.0,1.1,1.2,1.2,1.2,0.9,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.8,1.1,1.4,1.6,1.6,1.6,1.7,1.8,1.5,0.8,0.5,0.5,0.6,0.7,0.8,0.9,0.9
"Sri Lanka",2.9,3.0,3.0,2.9,2.7,2.6,2.6,2.6,2.7,2.8,2.8,2.7,2.6,2.4,2.4,2.4,2.4,2.4,2.2,2.1,2.0,1.9,1.8,1.6,1.6,1.7,1.7,1.8,2.0,1.8,1.7,1.7,1.3,1.2,1.3,1.5,1.5,1.4,1.4,1.3,0.8,1.2,1.4,1.5,1.3,1.2,1.2,1.1,1.2,1.3,1.2,1.1,1.2,1.1,0.8,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.8
"Saint Lucia",2.2,1.6,1.3,1.4,1.8,1.9,1.0,-0.1,-0.7,0.0,1.0,1.3,1.4,1.5,1.8,2.1,2.0,1.5,1.4,1.8,2.1,2.0,1.9,1.8,1.3,2.2,1.8,1.8,1.2,1.7,1.2,1.3,1.4,1.4,1.5,1.3,1.1,1.0,0.7,0.8,1.2,1.3,1.3,1.3,1.3,1.1,1.0,0.9,0.7,0.8,0.7,0.6,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
