Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"French Polynesia",,,,,,,,,,,,,,,,82.40000153,81.90000153,80.90000153,79.59999847,79.09999847,78.80000305,78.69999695,78.19999695,79.30000305,79.19999695,79.19999695,79.40000153,79.30000305,79.5,81.09999847,81.40000153,81.40000153,,,
Gabon,,,,,,,,,,,,,,46.90000153,48.325,49.75,51.175,52.6,54.025,55.45,56.875,58.3,59.725,61.15,62.575,64,,,,,,,,,
Gambia,,,,,,,,,,,,,,27.79999924,29.0762,30.3524,31.6286,32.9048,34.181,35.4571,36.7333,38.0095,39.2857,40.5619,41.8381,43.1143,44.3905,45.6667,46.9429,48.219,49.4952,50.7714,52.0476,53.3238,54.59999847
Georgia,,,,,,,,,,,,,,,,,,,41.20000076,38.29999924,38,37.90000153,38,36.70000076,37.09999847,36.40000153,35.59999847,36.20000076,,,,,,,
Germany,,,,,,,,,,,,55,57.29999924,58.59999847,59.79999924,60.79999924,61.79999924,62.40000153,62.79999924,63.29999924,63.90000153,64.59999847,65.09999847,66.19999695,66.40000153,67.80000305,68,67.80000305,68.80000305,69.5,69.90000153,70,70.19999695,70.69999695,70.40000153
Ghana,,,,,,,,,,,,,27.89999962,28.3571,28.8143,29.2714,29.7286,30.1857,30.6429,31.10000038,30.8143,30.5286,30.2429,29.9571,29.6714,29.3857,29.10000038,32.6,36.1,39.6,43.09999847,42.3667,41.6333,40.90000153,
Greece,,40.29999924,41.90000153,41.40000153,42.79999924,43.70000076,43.40000153,45,46.20000076,47.09999847,48.29999924,50.29999924,53,54.5,55.59999847,56.40000153,56.79999924,57.70000076,58.90000153,60.29999924,60.70000076,61.70000076,62.59999847,63,65.59999847,65.90000153,66.69999695,66.69999695,67,67.59999847,68.5,70.5,70.80000305,71,71.80000305
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,,,
Grenada,,,,,,,,,49.40000153,50.4667,51.5333,52.6,53.6667,54.7333,55.79999924,56.4,57,57.8,58.59999847,,,,,,,,,,,,,,,,
Guam,84.90000153,84.32,83.74,83.16,82.58,82,81.42,80.84,80.26,79.68,79.09999847,79.97,80.84,81.71,82.58,83.45,84.32,85.19,86.06,86.93,87.80000305,87.59,87.38,87.17,86.96,86.75,86.54,86.33,86.12,85.91,85.69999695,,,,
Guatemala,,29.60000038,29.60000038,29.94,30.28,30.62,30.96,31.29999924,31.55,31.79999924,57.20000076,53.40000153,51.3714,49.3429,47.3143,45.2857,43.2571,41.2286,39.20000076,38.45,37.70000076,37.6,37.5,37.5,42.20000076,43.1,44,43.7,43.4,43.1,42.8,42.5,48.20000076,50.20000076,
Guinea,,,,,,,,,,,,,,,18.10000038,18.22,18.34,18.46,18.58,18.7,18.82,18.94,19.06,19.18,19.3,19.42,19.54,19.66,19.78,19.89999962,19.89999962,19.29999924,19.29999924,,
Guyana,,,,,,,,,,,,,,,,,,48,48,48,48,48,50.5,,,,,,,,,,,,
Haiti,24.39999962,25.20000076,23,23,22.84,22.68,22.52,22.36,22.20000076,22.5,22.79999924,24.5667,26.3333,28.1,29.8667,31.6333,33.4,35.1667,36.9333,38.70000076,,,,,,,,,,,,,,,
Honduras,24.5,24.39999962,24.70000076,25,26.1714,27.3429,28.5143,29.6857,30.8571,32.0286,33.20000076,40.59999847,41.59999847,40.15,38.70000076,38.5,39.40000153,41,42.40000153,42.90000153,41.9,40.90000153,39.29999924,41.20000076,42.70000076,39.70000076,42,43.20000076,42.90000153,42.59999847,43.29999924,44,42.20000076,45.40000153,
"Hong Kong",48.40000153,50.20000076,52.09999847,53.79999924,53.70000076,54,55,55.5,57.59999847,60.09999847,62.40000153,64.30000305,66.40000153,69.59999847,71.40000153,72.40000153,74,75.5,77.09999847,78.59999847,79.40000153,80.40000153,81.40000153,82.69999695,84.19999695,84.69999695,85,85.69999695,87,79.80000305,80.09999847,80,79.5,79.30000305,79.90000153
Hungary,36.79999924,35.5,35.5,36.09999847,36.79999924,37.59999847,38.5,39.29999924,40.09999847,41,45,47.79999924,53.59999847,57.09999847,58.29999924,59.40000153,58.5,59,57.90000153,58.5,59.59999847,59.20000076,59.5,61,61.59999847,62.5,62.79999924,62.70000076,63.29999924,64.19999695,64.69999695,64.09999847,65,65.30000305,64.5
Iceland,,,,,,,,,,,59.70000076,63.90000153,64.80000305,65.59999847,65.19999695,65.5,66.40000153,66.09999847,64.69999695,67.59999847,69,68.80000305,69.80000305,71.40000153,69.80000305,71.30000305,72,72.90000153,73.59999847,75.40000153,75.90000153,75.80000305,75.69999695,76.5,77.09999847
