Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Hong Kong",56056.18359,59679.08203,63103.12891,66042.88281,67014.125,68467.82813,69946.00781,65702.97656,67009.40625,69915.88281,69359.97656,70945.54688,73369.82031,78228.52344,82515.17969,86841.96875,90747.53125,91869.69531,90495.38281,96460.96094,98652.42969,98816.71875,99999.40625,101826.0938,104097.6484,105961.75
Hungary,38508.07813,36933.26953,38961.05078,40708.84375,41651.55859,42022.39063,43647.89063,45480.28125,44984.03516,46408.89063,47992.78906,50053.02344,51286.05859,53903.10156,56400.66406,58351.21094,58696.58203,59822.57031,57208.63672,57711.26953,58357.01563,56492.09375,56678.60938,55691.82422,56894.27344,57179.28516
Iceland,51591.5,49654.84766,51016.83203,52372.73438,50813.4375,52625.0625,54844.72266,56306.32031,56743.11328,58232.58594,59568.14063,60434.17578,62072.95703,67464.14844,68349.3125,69272.54688,74102.99219,75046.42188,75201.85156,71419.73438,72398.5625,71763.86719,73155.77344,73407.50781,75217.54688,78277.60938
India,4831.276855,4973.443848,5096.813965,5287.526855,5592.683105,5901.780762,6052.39502,6286.654785,6718.60791,6850.332031,6943.207031,7046.679199,7360.016113,7720.961914,8251.399414,8989.801758,9788.493164,10195.42969,11011.86719,12077.10352,12792.625,13367.79688,14053.7002,14839.55273,15652.2998,16527.57813
Indonesia,11744.7666,12359.33789,12983.43848,14076.24609,14059.39258,14768.98633,15511.18848,13408.08594,12872.54199,13223.90039,13803.83008,14397.38574,14877.16797,15422.02539,16259.22461,16653.03711,17172.8125,17776.98828,18159.04102,18818.18359,19760.08398,20380.23828,21260.77539,21980.83008,22684.57422,23390.1582
Iran,50451.92969,52108.35938,49999.12109,48088.74609,49254.45703,51677.50781,49455.3125,48117.42578,46711.69922,47099.32031,46010.51953,47397.69531,48457.62891,46936.29297,47431.70703,49634.89844,53763.89844,55882.74609,56660.42578,61338.88672,61568.16797,56417.73047,52939.57422,54488.67188,54098.56641,55814.37109
Iraq,21749.57617,28281.63477,35664.78516,35375.08203,34752.92578,37553.07813,43644.56641,56844.24609,64339.79688,62651.16406,62029.08203,55882.97266,41947.66016,61652.87109,55524.80859,58980.0625,57625.84375,59570.71484,59674.41797,61410.00391,63655.90234,69766.38281,71292.125,66955.44531,63309.23828,67891.82031
Ireland,64987.54688,66975.35938,67545.77344,68661.125,71683.49219,75522.24219,80328.25,81131.34375,84253.69531,88330.875,90735.28125,94010.30469,95389.94531,96686.13281,97556.625,100430.9766,103262.3516,101735.0938,102431.0391,105600.4844,109876.4297,110625.5625,109807.7344,113834.1719,141473.0313,146229.7656
Israel,59911.53125,60682.20313,59236.67969,58384.23438,59037.35547,61137.07813,63033.22266,65053.40234,65736.4375,69467.17969,68731.38281,68996.72656,68581.28906,69735.96875,69624.17188,70928.34375,71755.125,70798.03125,71137.71094,72376.375,73981.01563,73992.85938,74616.60156,74712.78125,75134.23438,76566.07813
Italy,81311.54688,83935.92969,84550.45313,87914.07813,91580.61719,92630.25,94434.00781,95558.65625,95965.63281,98298.875,97835.07813,96234.21094,94637.01563,93316.22656,94509.09375,95049.88281,95928.82813,94679.17188,91476.28906,94004.71875,94671.69531,92598.78906,93218.57813,92862.21094,92840.4375,93232.21094
Jamaica,18935.48047,18981.06445,20726.24805,20529.79102,21233.82813,21198.61133,21166.47461,20560.07813,20760.48633,20849.25195,20939.03125,21118.98633,21193.40625,21260.19922,21060.76367,21033.68945,20955.3125,20803.97656,20427.98242,20442.09766,20630.47852,20316.66211,20067.86328,19527.43164,19379.45703,19408.40234
Japan,59823.95313,59512.39063,59414.30078,59877.875,60965.35938,62225.51563,62689.75,61906.87891,62383.57422,63949.64844,64479.38672,65381.26563,66522.96875,67942.60156,68472.1875,69356.16406,70454.32031,69895.86719,66970.75781,69915.64063,70293.89063,71625.86719,72141.13281,71513.22656,72119.46875,72618.58594
Jordan,34262.97266,38494.66797,37825.54688,35963.50391,34108.47266,33363.62891,33534.20703,33681.82031,34113.35938,35284.87891,37244.01172,38980.72266,39697.98438,40724.03125,43190.53516,44594.78125,44111.98047,45196.75,44758.94531,44413.125,44622.55469,44682.88281,45765.39453,45413.97656,45725.22266,45844.29688
