Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Georgia,,,,,,,,,,,,,,,,,,,,5.5,15.1,14.1,17.1,18.3,18.6,15.1,15.5,14.7,14.3,12.6,14.2,13.6,13.6,16,15,13.5,10.4,9,7.8,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.1,0.1,0.1,,,,,
Ghana,,,,,,,,,,,31.6,31,32.6,34.2,35.8,34.5,33.2,31.9,30.6,29.3,28,26.7,25.8286,24.9571,24.0857,23.2143,22.3429,21.4714,20.6,19.4143,18.2286,17.0429,15.8571,14.6714,13.4857,12.3,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,0.5,0.5,0.3,0.6,0.9,1.1,1.3,0.9,1.4,,
Guatemala,,,,,,,,,,40,36.8333,33.6667,30.5,28.3778,26.2556,24.1333,22.0111,19.8889,17.7667,15.6444,13.5222,11.4,10.25,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.84,9.98,10.12,10.26,10.4,9.8333,9.2667,8.7,,
Guinea,,,,,,,,,,,,,,,76.5,63.1667,49.8333,36.5,37.675,38.85,40.025,41.2,42.375,43.55,44.725,45.9,45.44,44.98,44.52,44.06,43.6,40.56,37.52,34.48,31.44,28.4,,,,
"Guinea Bissau",,,,,,,,,,,,,,,35.1,41.65,48.2,47.2556,46.3111,45.3667,44.4222,43.4778,42.5333,41.5889,40.6444,39.7,40.9375,42.175,43.4125,44.65,45.8875,47.125,48.3625,49.6,,,,,,
Guyana,,,,,,,,,,,,,,,,26.7,24.2,21.7,19.2,16.7,14.2,11.7,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,
Honduras,,,,,,,,,,,,,30,34.7,26.5,23,19.7,21.2,22.2,24.9,17.2,21.8,21.9,18.6,15.3,24,22.1,21.3,22.8,19.4,14.5,13.2,11.4,12.4,15.2,17.8,15.9,14.6,14.5,
Hungary,,,,,,,,,,,0.1,0.1,0.1,0.125,0.15,0.175,0.2,0.1909,0.1818,0.1727,0.1636,0.1545,0.1455,0.1364,0.1273,0.1182,0.1091,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.6,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,
India,43.18,42.55,41.92,41.29,40.66,40.03,39.4,38,36.6,35.2,33.8,33.9,34,34.1,34.2,34.3,34.4,33.9818,33.5636,33.1455,32.7273,32.3091,31.8909,31.4727,31.0545,30.6364,30.2182,29.8,29,28.2,27.4,26.6,25.8,22.75,19.7,,,,,
Indonesia,,,,,,,,49.7,49.4667,49.2333,49,46.2667,43.5333,40.8,40.7,40.6,40.5,38.3333,36.1667,34,39.75,45.5,31.2,31.4,29.2,21.5,21.1,21.8,20.1,23.7,20.1,19,17.5,15.3,13.8,12.8,11.6,10.4,9.2,8.5
Iran,,,,,,,,,,6.9,6.675,6.45,6.225,6,5.475,4.95,4.425,3.9,3.775,3.65,3.525,3.4,3.0143,2.6286,2.2429,1.8571,1.4714,1.0857,0.7,0.7,0.8,0.9,1,0.8,0.6,0.4,0.2,0.5,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.4,0.5,0.5,0.3,0.6,0.4,,
Israel,,,,,,,,,,0.2,0.1833,0.1667,0.15,0.1333,0.1167,0.1,0.14,0.18,0.22,0.26,0.3,0.25,0.2,0.15,0.1,0.2,0.3,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.5,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.7,0.6,0.6,0.8,1.1,1.1,1.1,1.3,1.1,,
Jamaica,,,,,,,,,,,,7.2,6.2,5.2,6.7,8.2,9.7,7.7333,5.7667,3.8,3.5,3.2,2.9,2.9667,3.0333,3.1,2.65,2.2,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,
Jordan,,,,,,,,,,0.2,0.8,1.4,2,2.6,3.2,3.8,3.56,3.32,3.08,2.84,2.6,2.4,2.2,2,1.8,1.6,1.375,1.15,0.925,0.7,0.6,0.5,0.45,0.4,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,7.1,7.72,8.34,8.96,9.58,10.2,7.6,5.7,4.4,0.6,1.2,0.8,0.4,0.5,0.3,0.1,0.1,0.1,0.1,0.1,
Kenya,,,,,,,,,,,,,,,,18.6,17.45,16.3,16.7,17.1,17.5,18.6375,19.775,20.9125,22.05,23.1875,24.325,25.4625,26.6,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.65,4.2,3.8,3.5333,3.2667,3,2.8,1.9,1.1,0.9,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,35.9,33.56,31.22,28.88,26.54,24.2,28.2,32.2,28.9,27.8,24.7,14,15.7,10.9,10.3,5.8,4.1,5.7,4,4.7,5.6,3.5,4.7,
Laos,,,,,,,,,,,,,,,,26.5,27.56,28.62,29.68,30.74,31.8,30.88,29.96,29.04,28.12,27.2,26.48,25.76,25.04,24.32,23.6,22.86,22.12,21.38,20.64,19.9,,,,
