Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Sierra Leone",,,,,,,65,64.54,64.08,63.62,63.16,62.7,38.8,14.9,53.7,46.8,39.9,46.3333,52.7667,59.2,,,
"El Salvador",,,,,,,,,,12.6609317489,11.2707,9.8805,8.4902,7.1,7.25,7.4,7.4212,7.442466,7,7.800059,,,
Somalia,,,,,,,,,,,,,43.5,,,,,,,,,,
Serbia,,,,,,,,,,,,6.9,8.1264,9.3529,10.5793,11.8057,13.0322,14.2586,15.485,16.7115,17.9379,,
"South Sudan",,,,,,,,,,,,,,,45.6,,,,,,,,
Swaziland,,,,,,,11.2,11.41,11.62,11.83,12.04,12.25,12.46,12.67,12.88,13.09,13.3,,,,,,
Syria,,,,,,,,,,,,,6.6,,,,,,,,,,
Chad,,,,,,,,,,,60.4,55.85,51.3,46.75,42.2,37.65,33.1,37.6591,42.2182,46.7774,51.3365,55.8956202521172,
Togo,,,,,,,,,,,,,38.68966,41.2172,43.7448,46.2724,48.8,45.4065,42.013,38.6194,35.2259002149569,,
Thailand,,,,,,,,,,,,15.1,15.1,,,,,,,,,,
Tajikistan,,,,,,7.3,7.5667,7.8333,8.1,8.3667,8.6333,8.9,,,,,,,,,,,
"Timor Leste",,,,,,,,7.6,9.65,11.7,13.75,15.8,17.85,19.9,,,,,,,,,
"Trinidad and Tobago",,,,,,,3.9,3.8167,3.7333,3.65,3.5667,3.4833,3.4,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,3.4,,,,
Turkey,,,,,,4.5413489551,4.264,3.9867,3.7093,3.432,3.1547,2.8773,2.6,,,,,,,,,,
Tanzania,,,,,,,,40.3521593213,38.5017,36.6513,34.8009,32.9504,31.1,30.76,30.42,30.08,29.74,29.4,31.1783,32.9566,34.73484,,
Uganda,,,,,,,,,,,,,38.17033,37.9253,37.6802,37.4352,37.1901,36.9451,36.7,,,,
Ukraine,,,,,,,,,,,,17.3,15.5429,13.7857,12.0286,10.2714,8.5143,6.7571,5,,,,
Uruguay,,,,,,,,,,,,,,,,7.3,,,,,,,
Uzbekistan,,,,,,,18.09417,15.4953,12.8965,10.2977,7.6988,5.1,5.1,,,,,,,,,,
Venezuela,,,,,,,,,,9.1,7.25,5.4,5.1,4.9301,4.7603,4.5904,4.4205,4.2507,4.0808,3.910936,,,
Vietnam,,,,,,,,,,,,,21.3,19.64,17.98,16.32,14.66,13,10.9,,,,
Yemen,,,,,,13.14997,13.8857,14.6214,15.3571,16.0928,16.8286,17.5643,18.3,17.75,17.2,16.65,16.1,,,,,,
"South Africa",,,,,,27.7,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,47.86269,43.3751,38.8876,34.4,,,,,,,,
Zimbabwe,,,,,,14.3,,,,,,,,,,,,,,,,,
