Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.6,0.5,0.4,0.4,0.6,0.7,0.8,0.9,0.5,0.4,0.6,0.9,0.4,0.5,0.7,0.6,0.6,1.2,0.9,0.9,1.1,1.4,1.6,1.5,1.6,1.7,2.2,2.3,2.2,2.3,2.3,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.8,1.8,0.9,0.3,1.3,0.8,1.6,1.4,1.7,1.6,1.9,1.6,1.4,2.6,1.8,1.6,1.9,2.2,2.1,2.1,1.8,2.4,2.1,2.1,1.9,2,2,2.1,1.8,1.7,1.8,1.8,2.1,
Italy,,,1.5,1.5,1.4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6417,1.6833,1.725,1.7667,1.8083,1.85,1.8917,1.9333,1.975,2.0167,2.0583,2.1,2.5,2.4,2.4,2.8,2.4,1.9,1.9,2.5,2.2,2.5,2.4,2.5,2.4,2.7,2.9,2.1,2.2,2,1.9,2.3,2.2,2.1,2.2,3.8,3.6667,3.5333,3.4,3.3,3.2,3.2,3,3.1,3.1,
Japan,,,,1.1,1.1,1.3,1.4,1.3,1.2,1.2,1.1,0.9,0.8,0.9833,1.1667,1.35,1.5333,1.7167,1.9,2.0833,2.2667,2.45,2.6333,2.8167,3,3,3.2,3.2,3.4,3.4,3.6,3.6,3.7,3.8,3.9,4,4,4.1,4.1,4.2,6.4,6.4,6.3,6.3,6.3,6.1,6,5.8,5.4,5.5,5.1,4.9,4.8,4.6,4.3,4.2,3.9,3.6,3.4
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.9,3.8,9.4,1.5,1.5417,1.5833,1.625,1.6667,1.7083,1.75,1.7917,1.8333,1.875,1.9167,1.9583,2,5.2,1.7,6.3,4.4,9.6,9.5,5.2,4.7,2.4,3.4,3.4,6.1,3.6,4.9,5,2.6,4.5,2.1
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.3,3.7,4.2,3.9,5.1,3.6,3.9,4.9,5.4,4.6,4.7,4.9,5.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.2,2.3,1.7,1.7,2.2,1.7,2.2,1.6,1.8,2,1.8,1.5,2.2,1.7,2,2,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2,1.4,1.3,1.4,1.2,1.6,2.1,1.4,1.5,1.6,1.9,1.8,1.8,2,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.3,2.3,1.9,2.2,1.6,2.2,3.1,1.6,1.6,1.8,4.9,1.8,1.7,2.1,5
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.6,4.5,4.6,4.2,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,1.8,3.1,1,4,1,2.3,4,1.7,1.2,0.7,0.9,0.8,0.6,0.4,0.5,0.7,1.3,1.8,1.2,1.9,1,1,1.2,1.9,1.7,1.8,0.7,1.1,0.9,1.9,1,1,1.1,1.5,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.125,0.95,0.775,0.6,0.6,0.7,0.5,0.5,0.5,0.3,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.7,0.2,0.7,0.2,0.5,3.6,3.4,3.1,3.9,3,2.3,1.9,2.1,2.2
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.8,0.95,1.1,1.1,1,1.3,1.3,1,0.9,1.4,1,1,1.1,1.2,1.3,5.5,5.1,5.6,5.5,5.4,5.5,5.4,5.3,5.4,4.8,5,5,4.7,4.6,4.5,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.9,2.9,2.9,2.5,3.7,3.7,3,2.8,2.4,3,3.7,3.6,4.2,3.6,4.4,4.2,4.1,5,5,5,4.1,5.2
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,0.5,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.9,1.2,1.3,1.1,1.2,1.3,1.4,1.2,1.1,1.3,1.3,1.1,1.2,1.2,1.4,1.3,1.4,1.5,1.3
"New Zealand",,,,1,0.6,0.5857,0.5714,0.5571,0.5429,0.5286,0.5143,0.5,0.9,0.9083,0.9167,0.925,0.9333,0.9417,0.95,0.9583,0.9667,0.975,0.9833,0.9917,1,1,0.8,1.3,1,1.2,0.7,0.7,0.6,1.2,0.9,1,1.3,0.8,0.9,0.9,1.2,1.3,1.3,1,1.1,1.5,1.2,1.8,1.2,1.5,1.2,2.1,1.6,1.6,1.6,1.5,1.6,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,0.2,0.4,1,0.5,1,1.3,1.6,4.6,4.4,5.4,5.2,6.3,6.2,6.2,6,5.3,5.7,5.6,5,5.4,6.6,5.6,5.4,
"Northern Ireland",3.8,4.1,2.1,0.1,0.6,0.5,0.5,0.5,0.4,0.4063,0.4125,0.4188,0.425,0.4313,0.4375,0.4438,0.45,0.4563,0.4625,0.4688,0.475,0.4813,0.4875,0.4938,0.5,0.6,0.6,0.3,0.5,0.6,0.6,0.3,1.4,0.4,1.2,0.7,0.8,0.8,1,1.4,0.9,0.9,1.3,1.3,1.3,1.8,1.4,2.3,1.7,2.1,1.4,1.9,2.7,1.5,2.1,2.3,1.4,2.2,2.1
