Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bhutan,,,,,,,,,,,,,,,,,,,,,13.90772904,3.413941475,11.31071362,4.482105129,4.211775036,11.73057663,28.69626536,4.987289699,7.432626446,10.87643469,-0.407876089,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.745455168,6.491370587,6.166423672
Bolivia,2.079983628,5.570225346,6.420701581,4.794559575,5.625017746,6.497295733,6.908867936,-12.16902795,3.09601364,-0.494821367,5.063336314,7.967485482,5.739161343,2.939568128,7.311017648,4.614567334,4.971216087,2.052694442,0.133344041,-1.371773316,0.27561674,-3.938737804,-4.042121789,-0.200671744,-1.676387096,-2.573877377,2.463479373,2.909505419,3.790128534,4.635787879,5.266522121,1.646500039,4.269294855,4.667266263,4.6782771,4.361340294,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564284925,6.148597672,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,4.857187895,4.263919404
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230335,5.378476821,5.728756912,5.48150787,-2.869881278,0.767254237,0.908247974,-0.933187591,2.394191979,1.08187567,3.015921353,1.987669046
Botswana,6.343283719,6.666667814,5.921045096,6.832300927,5.813955063,6.344019093,5.924559943,10.5670565,15.12340471,17.12026767,25.82110722,26.36194095,21.30318409,8.797795217,8.446250376,10.64737671,12.01204009,14.33280159,12.14858892,11.98690138,9.064857465,12.16553186,13.14672905,8.54538364,7.125271269,8.172924333,11.88192814,19.44996951,13.05940589,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763758,6.245437398,-7.652310203,8.563631748,6.048316381,4.456167218,11.34342423,4.149252734,-1.699936086,2.9
Brazil,10.27591155,5.21605942,0.874672592,3.485582304,3.053487894,4.150360233,4.915265675,11.42728238,9.73582689,8.769947472,11.29508684,12.05280225,13.97869165,9.042120313,5.209075901,9.790410161,4.606318061,3.231709563,6.766284965,9.110960155,-4.3933572,0.580245553,-3.409793474,5.26914315,7.945861749,7.988295105,3.599629467,-0.102672718,3.279458858,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.207535528,3.395028637,0.338356179,0.469066587,4.11256491,1.389867166,3.053303731,1.141007013,5.759876004,3.202135213,3.961902656,6.069872846,5.09434227,-0.125873062,7.528223562,3.974425406,1.921150318,3.004865359,0.503961791,-3.769252669,-3.594739196
Brunei,,,,,,,,,,,,,,,0.355463068,20.15539436,10.91669706,6.775834422,22.56242876,-6.996702984,-19.82671586,3.956654938,0.501465966,0.599876542,-1.49074908,-2.715469953,2.009129814,1.097367166,-1.074178573,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675,-0.566814609,-2.46551471
Bulgaria,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305913,3.396443623,2.68344074,4.207602004,6.054513839,10.94469206,-3.289882068,-9.117377097,-8.445355238,-7.272387907,-1.480214829,1.818011241,2.860189441,1.599999963,-1.099999912,3.499999833,-5.609999976,5.010949436,4.248025257,6.018122264,5.077522246,6.555566547,7.236192982,6.753133915,7.675350682,5.647005366,-4.219726999,0.054557923,1.915018011,0.030943608,0.862092738,1.328849722,3.617442633,3.442532048
"Burkina Faso",4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754,2.814663076,4.185944746,3.998022357,5.861690066
Burundi,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836451,1.009998366,-6.239999999,-3.829999997,-7.920000001,-8.000000001,-1.589999997,4.749999992,-1.009999996,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184,-3.904919355,-0.587220798
"Cape Verde",,,,,,,,,,,,,,,,,,,,,8.451562412,2.825030083,9.520749753,3.783270681,8.642086617,2.871455425,4.309063729,5.996854915,5.697949367,0.692171874,1.404146852,10.93764724,8.708311376,19.18264182,14.21163626,11.34652473,11.11842604,12.51728567,11.22264853,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.170688,6.65052049,-1.270425968,1.466790097,3.968886345,1.081918312,0.802797545,0.611212683,1.066046146,3.91877627
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.099464508,6.442902796,5.412339379,5.619792925,5.00903275,11.90975793,8.767471484,8.148386098,6.578939502,8.505895557,10.34052878,13.25008691,10.77108367,10.21257391,6.691577475,0.086696959,5.963078575,7.069569946,7.313345505,7.427900099,7.071525352,7.036087179,6.882578402
Cameroon,1.183680812,3.041559051,3.74255032,3.547159696,2.026053715,4.614955621,-10.91206559,6.346323856,4.901479523,3.092068236,3.479707817,2.673843292,5.355680778,10.73426226,11.24505877,-5.495138397,13.73987152,22.00300492,6.035118773,-1.965291669,17.08268225,7.516202606,6.866830566,7.474572543,8.063161672,6.77166308,-2.146650212,-7.823631975,-1.819120513,-6.105697646,-3.808599372,-3.100003211,-7.932066575,2.063402475,4.128370945,4.911939543,5.314158464,4.895359526,4.062278838,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701,5.561688129,5.926964959,5.773247581,4.526098051
Canada,3.163291684,7.116779267,5.181776082,6.699456682,6.636545139,6.584965408,2.91531036,5.295341864,5.260000826,3.25561362,4.117657617,5.44585558,6.964202919,3.690987649,1.822973129,5.199302435,3.458230601,3.953591265,3.804922884,2.162616891,3.503119536,-3.202024839,2.598572697,5.925350318,4.734082845,2.161815553,4.096464516,4.429400975,2.323973923,0.154346036,-2.125692233,0.882976026,2.655235883,4.493474619,2.677708436,1.611048031,4.279812433,3.881759144,5.1632109,5.182690286,1.770819089,3.010016308,1.802273312,3.085961209,3.201382137,2.623412623,2.06274769,1.000360973,-2.949587643,3.08351422,3.141219001,1.745472283,2.475001859,2.565299274,0.941675857,1.467747075
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.305202786,,,,,,,,,,,,,,,,,,,,,,
