Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Germany,12,12,12,12,12,12,12,9,9,9,9,9
Ghana,38,38,34,34,34,34,34,33,33,33,33,33
Greece,19,19,19,8,8,8,8,8,8,8,8,8
Grenada,42,42,42,42,42,42,42,42,42,42,42,42
Guatemala,38,38,38,38,24,24,21,21,7,8,8,8
Guinea,57,57,57,57,57,57,57,57,57,57,57,57
"Guinea Bissau",46,46,46,46,46,46,46,46,46,46,46,46
Guyana,35,35,35,35,35,35,35,35,35,35,35,35
Haiti,47,47,47,47,47,47,47,47,47,47,47,47
Honduras,47,47,47,47,47,47,47,47,48,48,48,48
"Hong Kong",4,4,4,4,4,3,3,3,3,3,3,3
Hungary,13,13,14,14,14,14,13,12,12,11,11,11
Iceland,42,25,25,25,25,25,24,24,21,21,21,21
India,55,58,59,59,59,56,33,33,33,33,33,25
Indonesia,51,51,51,51,51,52,53,65,65,65,54,43
Iran,22,22,22,22,22,20,20,20,20,20,20,20
Iraq,14,14,14,14,14,14,14,14,14,14,14,14
Ireland,9,9,9,9,9,9,8,9,9,9,9,9
Israel,34,34,33,33,33,33,33,33,33,33,33,33
Italy,14,14,14,14,14,14,14,13,13,13,14,14
Jamaica,72,72,72,72,72,72,72,36,36,36,37,11
Japan,13,13,13,13,12,13,13,13,13,14,14,14
Jordan,26,26,26,26,26,26,25,25,25,25,25,25
Kazakhstan,7,7,7,7,7,7,6,6,6,6,7,7
Kenya,42,42,41,41,41,41,41,41,41,30,30,31
Kiribati,7,7,7,7,7,7,7,7,7,7,10,11
"South Korea",15,15,15,15,15,15,13,11,11,11,12,12
Kosovo,,,,,33,33,33,33,33,33,32,10
Kuwait,12,12,12,12,12,12,12,12,12,12,12,12
Kyrgyzstan,76,76,76,76,76,48,52,52,52,51,51,51
Laos,34,34,34,34,34,34,34,34,34,35,35,35
Latvia,29,7,7,7,7,7,7,7,7,7,7,7
Lebanon,20,20,20,20,20,20,20,20,20,20,20,20
Lesotho,21,21,21,20,20,20,20,32,32,32,32,32
Liberia,,33,33,33,33,33,33,33,33,33,33,33
Libya,,,,,,,,18,19,19,19,19
Lithuania,11,11,15,15,12,11,11,11,11,11,11,11
Luxembourg,,23,23,23,23,23,23,23,23,23,23,23
"Macedonia (F.Y.R.O.M.)",43,43,40,40,40,40,40,29,29,7,7,7
Madagascar,27,26,26,25,23,23,23,23,23,23,23,23
Malawi,23,23,23,23,23,23,23,30,35,35,35,35
Malaysia,35,35,35,12,12,12,13,13,13,13,13,9
Maldives,3,3,3,3,3,3,3,17,30,30,30,30
Mali,59,59,59,59,59,59,59,45,35,35,35,35
Malta,,,,,,,7,7,7,7,7,8
"Marshall Islands",9,9,9,9,9,9,9,9,9,9,9,9
Mauritania,37,37,37,37,37,37,36,36,37,49,49,45
Mauritius,8,8,8,8,8,8,8,8,8,8,8,8
Mexico,27,27,27,27,6,6,6,6,6,6,6,6
Micronesia,21,21,21,21,21,21,21,21,21,21,21,21
Moldova,53,53,53,53,49,49,49,49,32,21,21,10
Mongolia,41,41,41,41,41,41,41,41,41,41,41,19
Montenegro,,89,89,89,89,77,42,40,40,40,29,18
Morocco,28,28,28,28,28,28,17,17,6,6,6,6
Mozambique,37,37,37,37,37,37,37,37,37,37,37,37
"Burma (Myanmar)",,,,,,,,31,31,31,31,31
Namibia,37,37,37,37,37,37,37,26,26,26,27,27
Nepal,34,34,34,34,34,34,34,34,34,34,34,34
Netherlands,20,20,9,9,9,9,9,9,9,9,9,9
"New Zealand",8,8,8,8,8,8,8,8,8,8,8,7
Nicaragua,66,66,66,66,66,66,43,43,43,43,43,42
Niger,41,41,42,41,41,41,41,41,41,41,41,41
Nigeria,47,47,47,47,47,47,47,53,59,59,59,59
Norway,4,4,4,4,4,4,4,4,4,4,4,4
Oman,15,15,15,15,15,15,15,15,15,15,15,15
Pakistan,47,47,47,47,47,47,47,47,47,47,47,47
Palau,11,11,11,11,11,11,11,11,11,11,11,11
Panama,52,52,52,52,52,52,52,60,52,52,52,52
"Papua New Guinea",33,32,32,32,32,32,32,32,32,32,32,32
Paraguay,35,35,35,35,35,35,35,35,28,20,20,20
Peru,9,9,9,9,9,9,9,9,9,9,9,9
Philippines,48,48,47,47,47,47,47,47,36,36,36,28
Poland,41,41,41,41,41,30,30,19,19,19,7,7
Portugal,7,7,7,7,7,8,8,8,8,8,8,8
"Puerto Rico",15,15,16,16,16,16,16,16,16,16,16,16
Qatar,,,3,3,3,3,3,4,4,4,4,4
Romania,108,108,108,113,113,113,113,41,39,14,14,14
Russia,12,8,8,8,8,8,7,7,7,7,7,7
Rwanda,25,25,25,25,25,25,17,17,25,25,25,29
"Saint Thomas and Principe",42,42,42,42,43,46,46,46,46,46,46,46
Samoa,37,37,37,37,37,37,37,37,37,37,37,37
"San Marino",,,,,,,,18,18,18,18,18
"Saudi Arabia",14,14,14,14,14,14,14,3,3,3,3,3
Senegal,59,59,59,59,59,59,59,59,59,58,58,58
Serbia,67,67,67,67,67,67,67,67,67,67,42,33
Seychelles,27,27,27,27,28,28,23,29,29,29,29,29
"Sierra Leone",29,29,29,29,29,29,33,33,33,33,34,34
Singapore,5,5,5,5,6,6,6,6,6,6,6,5
Slovakia,32,32,32,32,32,32,32,22,22,22,11,8
Slovenia,22,22,22,21,21,21,21,10,10,10,10,10
"Solomon Islands",34,34,34,34,34,34,34,34,34,34,34,34
Somalia,,,,,,,,,,,NA,NA
"South Africa",12,12,11,9,9,9,8,8,7,7,7,7
"South Sudan",,,,,,,,33,37,37,37,37
Spain,8,8,9,9,9,9,9,9,9,9,9,8
"Sri Lanka",58,59,59,59,59,71,71,61,58,47,47,47
"Saint Kitts and Nevis",28,28,27,27,27,27,39,39,39,39,39,39
"Saint Lucia",35,35,35,35,35,35,35,35,35,35,35,35
"Saint Vincent and Grenadines",36,36,36,36,36,36,36,36,36,36,36,36
Sudan,42,42,42,42,42,42,42,42,42,42,42,42
Suriname,30,30,30,30,30,30,30,30,30,30,30,30
Swaziland,33,33,33,33,33,33,33,33,33,33,33,33
Sweden,6,6,6,6,6,6,6,6,6,6,6,6
Switzerland,20,19,19,19,19,19,19,19,19,19,19,19
Syria,20,20,20,20,20,20,20,20,20,20,20,20
Taiwan,20,21,21,21,15,15,15,12,12,11,11,11
Tajikistan,69,69,69,69,69,69,69,69,69,36,28,12
Tanzania,47,47,48,48,48,48,48,48,48,49,49,53
Thailand,33,33,33,21,21,21,21,21,21,21,21,21
"Timor Leste",15,15,15,15,6,6,6,18,18,18,18,18
Togo,49,49,49,49,49,49,49,49,49,49,49,49
Tonga,13,16,19,19,19,19,19,30,30,29,30,30
"Trinidad and Tobago",40,40,40,40,40,40,39,39,39,39,39,39
Tunisia,22,22,22,22,22,8,8,8,8,8,8,8
Turkey,11,11,11,11,11,11,11,11,11,11,11,11
Uganda,32,32,32,31,31,31,31,31,31,31,31,31
Ukraine,147,147,147,147,147,135,135,28,28,5,5,5
"United Arab Emirates",14,14,14,14,14,14,14,4,4,4,4,4
"United Kingdom",8,8,8,8,8,8,8,8,8,8,8,8
"United States",10,10,10,10,10,11,11,11,10.6,10.6,10.6,10.6
Uruguay,55,55,53,53,53,53,53,33,33,31,31,20
Uzbekistan,66,58,58,46,58,46,58,58,58,46,46,46
Vanuatu,31,31,31,31,31,31,31,31,31,31,31,31
Venezuela,69,69,70,70,71,70,70,70,70,70,70,70
Vietnam,32,32,32,32,44,44,44,44,45,45,43,31
"West Bank and Gaza",39,39,39,39,39,39,39,39,39,28,28,28
Yemen,44,44,44,44,44,44,44,44,44,44,44,44
Zambia,38,38,38,38,38,38,38,38,38,37,26,26
Zimbabwe,50,54,53,53,53,51,51,51,51,51,51,51
