Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.871115755420036,0.899,0.927,0.9549,0.9828,1.0108,1.0387,1.0666,1.094542557822,1.1424,1.1903,1.2381,1.286,1.3339,1.3817,1.4296,1.4774,1.5253,1.57316611900496,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32881027901244,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0887597063429,91.462237532347,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65228957649724,6.0882,5.5241,4.9599,4.39581582489555,4.4186,4.4413,4.4641,4.4869,4.5096,4.5324,4.5551,4.5779,4.6007,4.6234,4.6462,4.669,4.6917,4.71447450915812,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4796335699366,13.2116,13.9435,14.6754,15.4073222659924,16.2336,17.0599,17.8863,18.7126,19.5389,20.3651853481,21.2407,22.1161,22.9916,23.8671,24.7425216050563,25.0031,25.2637,25.5243,25.7849,26.0455106761853,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,4.16874512559656,4.1521,4.1354,4.1187,4.102,4.0853,4.0686,4.0519,4.0353,4.0186,4.00188540977756,,,,,,,,,,,,,,,,
India,,,,,,,,,,,0.667199782586575,0.6686,0.6701,0.6715,0.673,0.674400732655548,0.6955,0.7165,0.7376,0.7586,0.7797,0.800748970975401,0.8543,0.9079,0.9615,1.01513000850951,1.0567,1.0983,1.1398,1.1814,1.223,1.2645,1.3061,1.3477,1.3892,1.4307952444454,1.5465,1.6622,1.7779,1.8936,2.0093,2.125,2.2407,2.3564,2.4721,2.58782291212442,,,,,,
Ireland,,,,,,,,,,,,,,,,55.9468056032343,57.8876,59.8283,61.7691,63.7098,65.6506,67.5913,69.5321,71.4728,73.4136,75.3543,77.2951,79.2358,81.1766,83.1173446969121,102.0897,121.0621,140.0345,159.0069,177.9793,196.9516,215.924,234.8964,253.8688,272.8412,291.8136,310.7859,329.758330239544,309.0003,288.242262228701,,,,,,,
Iran,,,,,,,,,,,6.56155179284194,6.3986,6.2357,6.0728,5.9099,5.7469,5.584,5.4211,5.2582,5.0952,4.9323,4.7694,4.6065,4.4436,4.2806,4.1177,3.9548,3.7919,3.6289,3.466,3.30309509258426,3.3444,3.3857,3.427,3.4684,3.5097,3.55098740665877,3.7557,3.9603,4.16499331155422,,,,,,,,,,,,
Iraq,,,,,,,,,,,0.534429201460449,0.6515,0.7685,0.8856,1.0027,1.11970588144904,1.0945,1.0692,1.044,1.0188,0.993524168030992,1.1278,1.2621,1.3964,1.5307,1.66500208076298,1.5046,1.3442,1.1838,1.0234,0.863054481111617,0.9984,1.1337,1.269,1.4043,1.53958364488139,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,56.8417816197325,57.7619,58.682,59.6021,60.5222,61.4423566197489,59.2993,57.1562,55.0131,52.87,50.7269,48.5838,46.4406901798124,48.4759,50.5111,52.5463,54.5815,56.6167,58.6519,60.6871,62.7223,64.7575,66.7926853010315,70.2969,73.801074801161,65.0703,56.3395,47.6086,38.8778,30.147,21.4162,12.6854,3.95460747142511,21.4708,38.9871,56.5032724342854,
Israel,,,,,,26.9339236582203,29.0544,31.1748,33.2952,35.4157,37.5361095737423,38.4646,39.393,40.3215,41.25,42.1784210330698,43.3143,44.4502,45.5861,46.722,47.8579,48.9937614474166,52.5728,56.1519,59.7309,63.3100061273022,68.769,74.2279,79.6869,85.1458,90.6047583187534,93.8307,97.0566,100.2825,103.5084,106.7343,109.9602,113.186146042157,121.3297,129.473236959707,,,,,,,,,,,,
Italy,,,,,,22.8630780734382,23.6306,24.3981,25.1656,25.9332,26.7007,27.4682,28.2357,29.0033,29.7708,30.5383,31.3058,32.0733,32.8409,33.6084,34.3759,35.1434,35.9109,36.6785,37.446,38.2135,38.981,39.7486,40.5161,41.2836,42.0511,42.8186,43.5862,44.3537,45.1212,45.888731511152,45.3039,44.7191,44.1343,43.5495,42.9646,42.3798,41.795,41.2101749734592,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07097785652,13.382,13.693,14.004,14.3149,14.6259,14.9369,15.2479,15.5589,15.8699,16.1809,16.4919,16.8029,17.1139,17.4248682217396,,,,,,,,,
Jordan,,,,,,,,,,,7.71343382976988,8.8765,10.0396,11.2027,12.3657,13.5288186510709,13.8373,14.1459,14.4544,14.7629,15.0713970269692,14.5415,14.0116,13.4817,12.9518,12.4219,11.892,11.3621456587836,12.4198,13.4774,14.535,15.5926,16.6502,17.7078,18.7654,19.823,20.8806,21.9382102332252,22.5725,23.2067,23.841,24.4752,25.1094473762705,26.7349,28.3603,29.9857,31.6111,33.2365551925012,31.4059,29.5752,27.7445185000815,
Japan,,,,,,,,,,,,,,,,34.2329816388407,35.8529,37.4728,39.0927,40.7126,42.3325,43.9524,45.5723,47.1922,48.8121,50.432,52.0519,53.6718121223055,54.7705,55.8693,56.968,58.0667,59.1654563651471,60.065,60.9646,61.8642,62.7638,63.6633569383581,65.0649,66.4664,67.8679,69.2694,70.6708971065096,69.0142,67.3575152806201,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84366183355551,2.2188,2.5939,2.969,3.3442,3.7193,4.0944,4.46952452418591,4.9074,5.3454,5.7833,6.2212,6.65911364656531,6.9093,7.1596,7.40977718922139,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,10.6223127647245,10.7382,10.8541,10.97,11.0859,11.2018,11.3177,11.4336,11.5495,11.6654,11.7813,11.8972,12.0131,12.1290009885898,12.172,12.215,12.258,12.3011,12.3441,12.3871,12.430108249473,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263486740682197,0.2726,0.2816,0.2907,0.2998,0.3089,0.317964467137252,0.351,0.3841,0.4171,0.4502,0.4832,0.516301410400566,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12771185041422,,,,,,,,,,
"Saint Kitts and Nevis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.530944849548,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,17.7053636998016,18.7041,19.7028,20.7015,21.7002,22.6989,23.6976,24.6963593129884,25.3706,26.0448,26.7191,27.3933,28.0675368359502,29.3447,30.6219,31.8990599351833,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.052854973113,242.6078,234.1627,225.7177,217.2726,208.8276,200.3825,191.9374,183.492378446094,,,,,,,,,,,,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38796336963043,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6015016573215,14.2266,14.8517,15.4768,16.1019,16.7271,17.352172880673,18.75,20.1478,21.5456,22.9434,24.3412481030371,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3779948452546,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1481765349612,11.4782,11.8083,12.1383,12.4684,12.7984340616278,12.5394,12.2804,12.0214,11.7624,11.5034,11.2444,10.9854165151452,,,,
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4469119556623,,,,,,,,,
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,2.10992367630104,2.1624,2.2148,2.2672,2.3197,2.3721,2.4245,2.477,2.5294,2.5818,2.6342657986888,2.7504,2.8665,2.9827,3.0988,3.21492927805875,,,,,,,,,,,
