Country,2010,2011,2012,2013,2014,2015
"Puerto Rico",5.698246,5.674403143,5.689428308,5.524517148,5.504267895,
Portugal,5.648033,5.430208551,5.267271438,4.96496334,4.948035566,4.948035566
Paraguay,4.451445,4.505690237,4.564940516,4.34567342,4.25116578,4.25116578
Qatar,5.58204,5.58204,5.703120739,5.78077869,5.817951232,5.817951232
Romania,3.90108,3.941244709,3.813839992,3.863113771,4.08108452,4.08108452
Russia,3.801874,3.688372654,3.712100182,4.08062284,4.375591912,4.375591912
Rwanda,4.0337,4.520427619,4.881698,4.567206443,4.38621,4.38621
"Saudi Arabia",5.512433,5.512433,5.271302662,5.023260874,4.90144955,4.90144955
Senegal,4.261931,4.328311381,4.28876367,3.850551226,3.736922393,3.736922393
Singapore,5.723665,5.929389666,6.077431024,6.134015169,6.070930718,6.070930718
"Sierra Leone",,,3.293602,3.6689605,3.60617296,3.60617296
"El Salvador",4.911814,5.085817729,4.860692094,3.991992736,4.116108456,4.116108456
Serbia,3.771091,3.95829188,3.9875423,3.949224286,3.98540541,3.98540541
Suriname,,3.802924,3.662969823,3.792278718,3.689441331,
Slovakia,5.218545,5.179164536,5.053547062,5.036391622,5.117057502,5.117057502
Slovenia,4.34628,4.34628,4.111923775,3.771200502,3.560143104,3.560143104
Sweden,6.269211,6.299464033,5.989231695,5.793351885,5.577931626,5.577931626
Swaziland,4.110152,4.117732295,4.229156993,4.522666701,4.442700961,4.442700961
Seychelles,,,4.281928,4.004689117,3.866386624,3.866386624
Syria,3.262228,3.648003208,,,,
Chad,2.469874,2.667270771,2.873199504,2.611625065,2.646043492,2.646043492
Thailand,5.211635,5.078092386,5.102040081,5.37906398,5.347835021,5.347835021
Tajikistan,3.624023,3.691261059,3.850873379,3.9306,4.010416508,4.010416508
"Timor Leste",2.439965,2.575733505,2.717694058,2.822143378,2.880573595,
"Trinidad and Tobago",4.889618,4.631135495,4.301881706,4.464775547,4.483464769,4.483464769
Tunisia,5.179632,4.541965321,4.2297,3.917493564,3.693520588,3.693520588
Turkey,5.010827,5.093526331,5.399855845,5.353882577,5.191768947,5.191768947
Tanzania,3.550029,3.791651972,3.877741342,3.700413825,3.655713816,3.655713816
Uganda,4.304275,4.419794758,4.512905232,4.227269574,4.148898941,4.148898941
Ukraine,3.813996,3.7039674,3.779540019,3.803899943,3.897610056,3.897610056
Uruguay,4.293115,4.289463129,4.057017616,4.088061882,4.247182876,4.247182876
"United States",5.955122,5.964252101,5.964001501,6.092461643,6.185997588,6.185997588
Venezuela,3.858322,3.799633947,3.667320329,3.661642339,3.649086472,3.649086472
Vietnam,4.23564,4.32066192,4.3472686,4.00910121,3.855939342,3.855939342
Yemen,,2.624522,2.808423429,2.894086472,2.725864906,
"South Africa",6.226357,6.3321924,6.425532344,6.417211383,6.132150592,6.132150592
Zambia,4.671847,4.484676151,4.481318941,4.427331963,4.312909943,4.312909943
Zimbabwe,3.64688,3.7002311,3.695226467,3.831060927,3.785336215,3.785336215
